frame,time_s,pose_valid,tag_family,tag_id,tx_m,ty_m,tz_m,qx,qy,qz,qw,roll_deg,pitch_deg,yaw_deg,pose_error,hamming,decision_margin,center_px,corners_px_lb_rb_rt_lt
31,1.0343666666666667,1,tagStandard41h12,0,0.0004682911412796569,-0.00028649509454987314,0.00015152442923728558,5.896841134314642e-05,5.68498074242144e-05,-0.00026895326374208356,0.9999999604774832,0.0067555298831764145,0.006516325212754234,-0.030819390114627334,3.498442359532495e-07,0,139.13937377929688,"[2332.128173828125, 1067.2041015625]","[[2676.568603515625, 975.023193359375], [2231.258544921875, 807.8943481445312], [1984.8631591796875, 1160.140869140625], [2446.820068359375, 1362.0472412109375]]"
32,1.0677333333333334,1,tagStandard41h12,0,0.0004535813254718244,-0.0003794824946682343,-7.165159857424666e-06,0.00032050832891204154,3.237820959330971e-05,-0.0001728953251730092,0.9999999331666324,0.03672690774039683,0.003716619291950521,-0.019811154799938842,3.7443986410596085e-07,0,139.96160888671875,"[2332.12744140625, 1067.069091796875]","[[2676.346435546875, 975.0482177734375], [2231.33349609375, 807.7684326171875], [1984.4173583984375, 1160.023193359375], [2446.746337890625, 1361.9361572265625]]"
33,1.1011,1,tagStandard41h12,0,0.00043869411548596465,-0.0004884884819408164,-0.000138456361229589,0.0003875177462165054,-0.0004418789019442104,5.5489581917205676e-05,0.9999998257469541,0.044403466990159644,-0.050638054128365785,0.006339016891636314,3.909166919499015e-07,0,139.18310546875,"[2331.899658203125, 1067.16796875]","[[2676.397705078125, 975.100830078125], [2231.21484375, 807.8466186523438], [1984.187255859375, 1160.093994140625], [2446.33447265625, 1361.90380859375]]"
34,1.1344666666666667,1,tagStandard41h12,0,0.0005210117857830797,-0.00034935934663921336,0.00010096290355333452,0.00024619227889747315,-8.560318977108703e-05,-0.0002085868701451105,0.9999999442764851,0.028213603152880223,-0.009803517914313536,-0.023904709353105163,3.81345131046789e-07,0,139.59036254882812,"[2331.88232421875, 1067.1956787109375]","[[2676.15869140625, 975.0924682617188], [2231.066650390625, 807.9006958007812], [1984.37255859375, 1160.163818359375], [2446.4697265625, 1361.9107666015625]]"
35,1.1678333333333333,1,tagStandard41h12,0,0.0005547414995166996,-0.0003613737975385354,8.136729257921942e-05,0.00016235031713778095,-0.00016412778711744161,-0.00014481113217860767,0.9999999628670894,0.01860670014600157,-0.018804964581713796,-0.016597187339955646,4.013731349110097e-07,0,139.82955932617188,"[2331.7783203125, 1067.130859375]","[[2675.968505859375, 975.0318603515625], [2231.007080078125, 807.789794921875], [1984.1500244140625, 1160.1497802734375], [2446.282958984375, 1361.8160400390625]]"
36,1.2012,1,tagStandard41h12,0,0.0005678433599571644,-0.0003548526903703502,0.0001362145603448182,1.8355963234264435e-05,-0.00011452670203314464,-9.682778519033339e-05,0.9999999885855365,0.00210470922395058,-0.013123589629765009,-0.011095887995648054,3.99732312893032e-07,0,140.4458465576172,"[2331.710205078125, 1067.2547607421875]","[[2675.969970703125, 975.145263671875], [2230.96337890625, 807.8423461914062], [1984.1837158203125, 1160.2384033203125], [2446.164794921875, 1361.9627685546875]]"
37,1.2345666666666666,1,tagStandard41h12,0,0.000539597633070906,-0.0004166561539743879,6.065539589133577e-05,0.00023242075436986082,-0.0003557980094118924,-9.79914884455308e-05,0.9999999048930143,0.026637457018097225,-0.04076883830744897,-0.011238475412254624,3.7661304939914705e-07,0,139.76113891601562,"[2331.572509765625, 1067.3187255859375]","[[2676.09912109375, 975.1466674804688], [2230.821533203125, 808.0342407226562], [1984.2021484375, 1160.2515869140625], [2446.072021484375, 1361.98583984375]]"
38,1.2679333333333334,1,tagStandard41h12,0,0.0005282557378634946,-0.0004488995555880787,1.8317815868951053e-06,0.00033789538374586186,-0.00026010921580094847,-4.2859715554867824e-05,0.999999908166471,0.03872124093221013,-0.029804659636235745,-0.004921433263854888,3.7193323080071357e-07,0,139.87582397460938,"[2331.578125, 1067.255859375]","[[2676.05322265625, 975.1824951171875], [2230.8759765625, 807.9760131835938], [1984.0654296875, 1160.14111328125], [2446.056640625, 1362.0067138671875]]"
39,1.3013000000000001,1,tagStandard41h12,0,0.0005310433884248584,-0.0004254779145646293,8.781686631539664e-05,-1.2537825913657642e-05,-0.0002049393312308644,-8.196957189147675e-05,0.9999999755618312,-0.0014348041043653551,-0.02348443532324342,-0.00939272719499857,4.046057497701821e-07,0,140.80055236816406,"[2331.677734375, 1067.4483642578125]","[[2676.058837890625, 975.2852172851562], [2230.912841796875, 807.9769287109375], [1984.1683349609375, 1160.44873046875], [2446.12744140625, 1362.1578369140625]]"
40,1.3346666666666667,1,tagStandard41h12,0,0.0005211786995468797,-0.0005151413149865342,-3.5268533356539234e-05,0.00020967986737265788,-0.00022046447702656283,-0.0001512159388487359,0.999999942281752,0.024031364775711096,-0.025259734145008452,-0.01733336835068306,4.187161291734393e-07,0,140.50888061523438,"[2331.546630859375, 1067.4405517578125]","[[2675.9150390625, 975.2958984375], [2230.725341796875, 807.9723510742188], [1983.8900146484375, 1160.465087890625], [2446.04443359375, 1362.1053466796875]]"
